date,country,state,city,ibgeID,newDeaths,deaths,newCases,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,lat,long
2020-03-19,Brazil,RS,Taquara/RS,4321204,0,0,1,1,0.0,1.74016,0.0,-29.6505,-50.7753
2020-03-19,Brazil,SP,Taubaté/SP,3554102,0,0,1,1,0.0,0.31754,0.0,-23.0104,-45.5593
2020-03-19,Brazil,PI,Teresina/PI,2211001,0,0,3,3,0.0,0.34688,0.0,-5.09194,-42.8034
2020-03-19,Brazil,MG,Uberlândia/MG,3170206,0,0,1,2,0.0,0.28931,0.0,-18.9141,-48.2749
2020-03-19,Brazil,SP,Vargem Grande Paulista/SP,3556453,0,0,1,1,0.0,1.90125,0.0,-23.5993,-47.022
2020-03-19,Brazil,ES,Vila Velha/ES,3205200,0,0,7,7,0.0,1.41747,0.0,-20.3417,-40.2875
2020-03-19,Brazil,ES,Vitória/ES,3205309,0,0,5,5,0.0,1.38085,0.0,-20.3155,-40.3128
2020-03-20,Brazil,GO,Aparecida de Goiânia/GO,5201405,0,0,1,2,0.0,0.34591,0.0,-16.8198,-49.2469
2020-03-20,Brazil,MG,Belo Horizonte/MG,3106200,0,0,2,20,0.0,0.7961600000000001,0.0,-19.9102,-43.9266
2020-03-20,Brazil,PA,Belém/PA,1501402,0,0,1,2,0.0,0.13398,0.0,-1.4554,-48.4898
2020-03-20,Brazil,DF,Brasília/DF,5300108,0,0,45,87,0.0,2.88532,0.0,-15.7795,-47.9297
2020-03-20,Brazil,PE,CASO SEM LOCALIZAÇÃO DEFINIDA/PE,26,0,0,2,14,0.0,0.14649,0.0,-8.046660000000001,-34.8771
2020-03-20,Brazil,RJ,CASO SEM LOCALIZAÇÃO DEFINIDA/RJ,33,0,0,43,43,0.0,0.24906,0.0,-22.9129,-43.2003
2020-03-20,Brazil,SP,CASO SEM LOCALIZAÇÃO DEFINIDA/SP,35,0,0,55,59,0.0,0.12849000000000002,0.0,-23.5329,-46.6395
2020-03-20,Brazil,ES,Cachoeiro de Itapemirim/ES,3201209,0,0,1,1,0.0,0.47853,0.0,-20.8462,-41.1198
2020-03-20,Brazil,BA,Camaçari/BA,2905701,0,0,1,1,0.0,0.3343,0.0,-12.6996,-38.3263
2020-03-20,Brazil,MS,Campo Grande/MS,5002704,0,0,3,11,0.0,1.2277,0.0,-20.4486,-54.6295
